Kalimat,Anotasi Program,Anotasi Furqon,Anotasi Richard,Richard dan Furqon,Anotasi Yuly
"Anies-Sandiaga memperoleh 39,95 persen suara.",B-A0 B-V B-A1 I-A1 I-A1 O,B-A0 B-V B-A1 I-A1 I-A1 O,B-A0 B-V B-A1 I-A1 I-A1 O,Sama,
KPU DKI akan bekerja hingga 1 Mei 2017 untuk menyelesaikan rekapitulasi suara.,B-A0 I-A0 B-AM-MOD O B-AM-TMP I-AM-TMP I-AM-TMP O B-AM-GOL B-V B-A1 I-A1 O,B-A0 I-A0 B-AM-MOD B-V B-AM-TMP I-AM-TMP I-AM-TMP I-AM-TMP B-AM-GOL I-AM-GOL I-AM-GOL I-AM-GOL O,B-A0 I-A0 B-AM-MOD B-V B-AM-TMP I-AM-TMP I-AM-TMP I-AM-TMP B-AM-GOL I-AM-GOL I-AM-GOL I-AM-GOL O,Sama,
"Pada 5 atau 6 Mei 2017, KPU DKI menetapkan pemenang Pilkada DKI 2017.",B-AM-TMP I-AM-TMP I-AM-TMP I-AM-TMP I-AM-TMP I-AM-TMP O B-A0 I-A0 B-V B-A1 I-A1 I-A1 I-A1 O,B-AM-TMP I-AM-TMP I-AM-TMP I-AM-TMP I-AM-TMP I-AM-TMP O B-A0 I-A0 B-V B-A1 I-A1 I-A1 I-A1 O,B-AM-TMP I-AM-TMP I-AM-TMP I-AM-TMP I-AM-TMP I-AM-TMP O B-A0 I-A0 B-V B-A1 I-A1 I-A1 I-A1 O,Sama,
"Cagub DKI Jakarta, Basuki Tjahaja Purnama dan Anies Baswedan, unggul di tempat pemungutan suara masing-masing.",B-A0 I-A0 I-A0 I-A0 I-A0 I-A0 I-A0 I-A0 I-A0 I-A0 I-A0 B-V B-AM-LOC I-AM-LOC I-AM-LOC I-AM-LOC O O,B-A0 I-A0 I-A0 O I-A0 I-A0 I-A0 I-A0 I-A0 O B-V B-AM-LOC I-AM-LOC I-AM-LOC I-AM-LOC O O,B-A0 I-A0 I-A0 O I-A0 I-A0 I-A0 I-A0 I-A0 I-A0 O B-V B-AM-LOC I-AM-LOC I-AM-LOC I-AM-LOC O O,Beda,B-A0 I-A0 I-A0 O I-A0 I-A0 I-A0 I-A0 I-A0 I-A0 O B-V B-AM-LOC I-AM-LOC I-AM-LOC I-AM-LOC O O
"Djarot Saiful Hidayat dan Sandiaga Uno, kalah suara di kandang masing-masing.",B-A0 I-A0 I-A0 I-A0 I-A0 I-A0 I-A0 I-A0 I-A0 B-AM-LOC I-AM-LOC O O,B-A0 I-A0 I-A0 I-A0 I-A0 O B-V B-A1B-AM-LOC I-AM-LOC O O,B-A0 I-A0 I-A0 I-A0 I-A0 I-A0 O B-V B-A1 B-AM-LOC I-AM-LOC O O,Beda,B-A0 I-A0 I-A0 I-A0 I-A0 I-A0 O B-V B-A1 B-AM-LOC I-AM-LOC O O
warga jakarta sudah dapat mengetahui hasil Penghitungan suara sementara di TPS-TPS di Jakarta Rabu 19 April 2017. ,B-A0 I-A0 O B-AM-MOD B-V B-A1 I-A1 I-A1 I-A1 B-AM-LOC I-AM-LOC B-AM-LOC I-AM-LOC B-AM-TMP I-AM-TMP I-AM-TMP I-AM-TMP O,B-A0 I-A0 O B-AM-MOD B-V B-A1 I-A1 I-A1 I-A1 B-AM-LOC I-AM-LOC B-AM-LOC I-AM-LOC B-AM-TMP I-AM-TMP I-AM-TMP I-AM-TMP O,B-A0 I-A0 O B-AM-MOD B-V B-A1 I-A1 I-A1 I-A1 B-AM-LOC I-AM-LOC B-AM-LOC I-AM-LOC B-AM-TMP I-AM-TMP I-AM-TMP I-AM-TMP O,Sama,
"Suara Ahok menang di TPS 54 Pluit, Jakarta Utara.",None (predicate not found),B-A0 I-A0 B-V B-AM-LOC I-AM-LOC I-AM-LOC I-AM-LOC O I-AM-LOC I-AM-LOC O ,B-A0 I-A0 B-V B-AM-LOC I-AM-LOC I-AM-LOC I-AM-LOC O I-AM-LOC I-AM-LOC O,Beda,
pasangan Ahok-Djarot mengantongi 400 suara.,B-A0 I-A0 B-V B-A1 I-A1,B-A0 I-A0 B-V B-A1 I-A1 O,B-A0 I-A0 B-V B-A1 I-A1 O,Sama,
 Anies-Sandi hanya 3 suara,None (predicate not found),None (predicate not found),None (predicate not found),Sama,
"Anies jadi juara di TPS 28, Lebak Bulus, Jakarta Selatan.",None (predicate not found),B-A0 B-V B-A1 B-AM-LOC I-AM-LOC I-AM-LOC O I-AM-LOC I-AM-LOC O I-AM-LOC I-AM-LOC O,B-A0 B-V B-A1 B-AM-LOC I-AM-LOC I-AM-LOC O I-AM-LOC I-AM-LOC O I-AM-LOC I-AM-LOC O,Sama,
Anies-Sandiaga memperoleh 396 suara.,B-A0 B-V B-A1 I-A1,B-A0 B-V B-A1 I-A1 O,B-A0 B-V B-A1 I-A1 O,Sama,
Ahok-Djarot memperoleh 195 suara.,B-A0 B-V B-A1 I-A1,B-A0 B-V B-A1 I-A1 O,B-A0 B-V B-A1 I-A1 O,Sama,
Anies unggul 201 suara dari Ahok.,B-A0 B-V B-A1 I-A1 I-A1 I-A1,B-A0 B-V B-A1 I-A1 I-A1 I-A1 O,B-A0 B-V B-A1 I-A1 B-AM-EXT I-AM-EXT O,Beda,
Djarot dan Sandiaga sama-sama keok untuk cawagub DKI Jakarta,None (predicate not found),None (predicate not found),None (predicate not found),Sama,
"Djarot mencoblos di TPS 08 Kuningan Timur, Jakarta Selatan.",None (predicate not found),B-A0 B-V B-AM-LOC I-AM-LOC I-AM-LOC I-AM-LOC I-AM-LOC O I-AM-LOC I-AM-LOC O,B-A0 B-V B-AM-LOC I-AM-LOC I-AM-LOC I-AM-LOC I-AM-LOC O I-AM-LOC I-AM-LOC O,Sama,
Anies-Sandi memperoleh 212 suara.,B-A0 B-V B-A1 I-A1,B-A0 B-V B-A1 I-A1 O,B-A0 B-V B-A1 I-A1 O,Sama,
Ahok-Djarot 107 suara.,None (predicate not found),None (predicate not found),None (predicate not found),Sama,
"Sandiaga kalah di TPS 01, Selong, Kebayoran Baru, Jakarta Selatan.",B-A0 I-A0 B-AM-LOC I-AM-LOC I-AM-LOC I-AM-LOC I-AM-LOC I-AM-LOC I-AM-LOC I-AM-LOC I-AM-LOC I-AM-LOC I-AM-LOC,B-A0 B-V B-AM-LOC I-AM-LOC I-AM-LOC O I-AM-LOC O I-AM-LOC I-AM-LOC O I-AM-LOC I-AM-LOC O,B-A0 B-V B-AM-LOC I-AM-LOC I-AM-LOC O I-AM-LOC O I-AM-LOC I-AM-LOC O I-AM-LOC I-AM-LOC O,Sama,
Ahok-Djarot meraih 226 suara.,B-A0 B-V B-A1 I-A1,B-A0 B-V B-A1 I-A1 O,B-A0 B-V B-A1 I-A1 O,Sama,
Anies-Sandi 129 suara.,None (predicate not found),None (predicate not found),None (predicate not found),Sama,
"Pasangan Anies Baswedan-Sandiaga Uno menang dalam Pilkada DKI putaran kedua di tempat pemungutan suara 027, Pasar Minggu, Jakarta Selatan, Rabu 19 April 2017.",None (predicate not found),B-A0 I-A0 I-A0 I-A0 B-V B-AM-EXT I-AM-EXT I-AM-EXT I-AM-EXT I-AM-EXT B-AM-LOC I-AM-LOC I-AM-LOC I-AM-LOC I-AM-LOC O I-AM-LOC I-AM-LOC O I-AM-LOC I-AM-LOC O I-AM-TMP I-AM-TMP I-AM-TMP I-AM-TMP O,B-A0 I-A0 I-A0 I-A0 B-V B-AM-EXT I-AM-EXT I-AM-EXT I-AM-EXT I-AM-EXT B-AM-LOC I-AM-LOC I-AM-LOC I-AM-LOC I-AM-LOC O I-AM-LOC I-AM-LOC O I-AM-LOC I-AM-LOC O B-AM-TMP I-AM-TMP I-AM-TMP I-AM-TMP O,Beda,
"Di tempat pemungutan suara 027, Pasar Minggu, Jakarta Selatan, Ketua Umum PDI Perjuangan Megawati Soekarnoputri menggunakan hak pilihnya.",B-AM-LOC I-AM-LOC I-AM-LOC I-AM-LOC O O B-A0 B-AM-TMP O B-A0 I-A0 I-A0 I-A0 I-A0 I-A0 I-A0 I-A0 I-A0 B-V B-A1 I-A1 O,B-AM-LOC I-AM-LOC I-AM-LOC I-AM-LOC I-AM-LOC O I-AM-LOC I-AM-LOC O I-AM-LOC I-AM-LOC O B-A0 I-A0 I-A0 I-A0 I-A0 I-A0 B-V B-A1 I-A1 O     ,B-AM-LOC I-AM-LOC I-AM-LOC I-AM-LOC I-AM-LOC O I-AM-LOC I-AM-LOC O I-AM-LOC I-AM-LOC O B-A0 I-A0 I-A0 I-A0 I-A0 I-A0 B-V B-A1 I-A1 O,Beda,
pasangan Basuki Tjahaja Purnama-Djarot Saiful Hidayat meraih sebanyak 252 suara berdasarkan hitungan.,B-A0 I-A0 I-A0 I-A0 I-A0 I-A0 B-V B-A1 I-A1 I-A1 I-A1 I-A1 I-A1,B-A0 I-A0 I-A0 I-A0 I-A0 I-A0 B-V B-A1 I-A1 I-A1 I-A1 I-A1 O,B-A0 I-A0 I-A0 I-A0 I-A0 I-A0 B-V B-A1 I-A1 I-A1 I-A1 I-A1 O,Sama,
Pasangan Anies-Sandi meraih sebanyak 292 suara atau unggul 40 suara.,B-A0 I-A0 B-V B-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 O,B-A0 I-A0 B-V B-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 O,"B-A0 I-A0 B-V B-A1 I-A1 I-A1 O O O O O

B-A0 I-A0 O O O O O B-V B-A1 I-A1 O",Beda,
"Salah satu petugas KPPS berujar, ""Dengan demikian, TPS 027 dimenangkan oleh pasangan nomor tiga, Anies-Sandiaga"" .",B-A0 I-A0 I-A0 I-A0 B-V O B-A1 B-AM-EXT B-AM-CAU I-AM-CAU I-AM-CAU I-AM-CAU B-V B-A0 I-A0 I-A0 I-A0 I-A0 O O,B-A0 I-A0 I-A0 I-A0 B-V O O B-AM-CAU I-AM-CAU O I-AM-CAU I-AM-CAU I-AM-CAU I-AM-CAU I-AM-CAU I-AM-CAU I-AM-CAU I-AM-CAU I-AM-CAU O B-A0 O O         ,"B-A0 I-A0 I-A0 I-A0 B-V O O O O O O O O O O O O O O O O

O O O O O O O B-AM-CAU I-AM-CAU O B-A1 I-A1 B-V B-A0 I-A0 I-A0 I-A0 O I-A0 I-A0 O O",Beda,
Warga setempat memantau jalannya penghitungan akhir tersebut.,B-A0 I-A0 B-V B-A1 I-A1 I-A1 I-A1 O,B-A0 I-A0 B-V B-A1 I-A1 I-A1 I-A1 O,B-A0 I-A0 B-V B-A1 I-A1 I-A1 I-A1 O,Sama,
"pasangan Ahok-Djarot menang dalam putaran pertama, di TPS yang terletak di depan rumah Megawati itu.",None (predicate not found),B-A0 I-A0 B-V B-AM-EXT I-AM-EXT I-AM-EXT O B-AM-LOC I-AM-LOC I-AM-LOC I-AM-LOC I-AM-LOC I-AM-LOC I-AM-LOC I-AM-LOC I-AM-LOC O       ,B-A0 I-A0 B-V B-AM-TMP I-AM-TMP O B-AM-LOC I-AM-LOC I-AM-LOC I-AM-LOC I-AM-LOC I-AM-LOC I-AM-LOC I-AM-LOC I-AM-LOC O,Beda,
"Saat itu, Ahok-Djarot meraih 254 suara.",B-AM-TMP I-AM-TMP O B-A0 B-V B-A1 I-A1 O,B-AM-TMP I-AM-TMP O B-A0 B-V B-A1 I-A1 O,B-AM-TMP I-AM-TMP O B-A0 B-V B-A1 I-A1 O,Sama,
Anies-Sandi berada dibawahnya dengan 207 suara.,B-A0 B-V B-A1 B-AM-EXT I-AM-EXT I-AM-EXT O,B-A0 B-V B-A1 B-AM-EXT I-AM-EXT I-AM-EXT O ,B-A0 B-V B-A1 B-AM-EXT I-AM-EXT I-AM-EXT O,Beda,
Pasangan nomor pemilihan 1 Agus Harimurti Yudhoyono- Sylviana Murni berada pada posisi buncit dengan 85 suara.,B-A0 I-A0 I-A0 I-A0 I-A0 I-A0 I-A0 I-A0 I-A0 B-V B-A1 I-A1 I-A1 B-AM-EXT I-AM-EXT I-AM-EXT O,B-A0 I-A0 I-A0 I-A0 I-A0 I-A0 I-A0 I-A0 I-A0 B-V B-A1 I-A1 I-A1 B-AM-EXT I-AM-EXT I-AM-EXT O,B-A0 I-A0 I-A0 I-A0 I-A0 I-A0 I-A0 I-A0 I-A0 B-V B-A1 I-A1 I-A1 B-AM-EXT I-AM-EXT I-AM-EXT O,Sama,
"Pasangan calon Gubernur Aceh, Muzakir Manaf-TA Khalid, mengklaim telah meraup suara terbanyak dalam Pilkada Aceh 2017, walaupun proses penghitungan resmi masih berlangsung.",B-A0 I-A0 I-A0 I-A0 I-A0 I-A0 I-A0 I-A0 O B-V O B-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 O B-AM-CAU I-AM-CAU I-AM-CAU I-AM-CAU B-A1 I-A1 O,B-A0 I-A0 I-A0 I-A0 O I-A0 I-A0 I-A0 O B-V O B-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 O B-AM-EXT I-AM-EXT I-AM-EXT I-AM-EXT I-AM-EXT I-AM-EXT O,B-A0 I-A0 I-A0 I-A0 O I-A0 I-A0 I-A0 O B-V O B-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 O B-AM-NEG I-AM-NEG I-AM-NEG I-AM-NEG I-AM-NEG I-AM-NEG O,Beda,
"Pasangan calon Gubernur Aceh, Muzakir Manaf-TA Khalid mengklaim meraup suara terbanyak setidaknya di sembilan kota atau kabupaten, berdasarkan perhitungan sementara oleh internal Partai Aceh.",B-A0 I-A0 I-A0 I-A0 I-A0 I-A0 I-A0 I-A0 B-V B-A1 I-A1 I-A1 I-A1 B-AM-LOC I-AM-LOC I-AM-LOC I-AM-LOC I-AM-LOC I-AM-LOC I-AM-LOC I-AM-LOC I-AM-LOC I-AM-LOC I-AM-LOC I-AM-LOC I-AM-LOC O,B-A0 I-A0 I-A0 I-A0 O I-A0 I-A0 I-A0 B-V B-A1 I-A1 I-A1 I-A1 B-AM-LOC I-AM-LOC I-AM-LOC I-AM-LOC I-AM-LOC O B-AM-EXT I-AM-EXT I-AM-EXT I-AM-EXT I-AM-EXT I-AM-EXT I-AM-EXT O     ,B-A0 I-A0 I-A0 I-A0 O I-A0 I-A0 I-A0 B-V B-A1 I-A1 I-A1 B-AM-LOC I-AM-LOC I-AM-LOC I-AM-LOC I-AM-LOC I-AM-LOC O B-AM-CAU I-AM-CAU I-AM-CAU I-AM-CAU I-AM-CAU I-AM-CAU I-AM-CAU O,Beda,
"Juru bicara DPA Partai Aceh, Suadi Sulaiman berkata, ""Di sejumlah besar di kabupaten di Aceh, dengan data ke kita, pasangan Muzakir Manaf-TA Khalid unggul,"" kepada BBC Indonesia, Rabu 15 Februari malam.",None (more than 30),B-A0 I-A0 I-A0 I-A0 I-A0 O I-A0 I-A0 B-V O O B-AM-LOC I-AM-LOC I-AM-LOC I-AM-LOC I-AM-LOC I-AM-LOC I-AM-LOC O B-AM-EXT I-AM-EXT I-AM-EXT I-AM-EXT O B-A1 I-A1 I-A1 I-A1 I-A1 O O B-A1 I-A1 I-A1 O B-AM-TMP I-AM-TMP I-AM-TMP I-AM-TMP O            ,"B-A0 I-A0 I-A0 I-A0 I-A0 O I-A0 I-A0 B-V O O O O O O O O O O O O O O O O O O O O O O B-A1 I-A1 I-A1 O B-AM-TMP I-AM-TMP I-AM-TMP I-AM-TMP O

O O O O O O O O O O O B-AM-LOC I-AM-LOC I-AM-LOC I-AM-LOC I-AM-LOC I-AM-LOC I-AM-LOC O B-AM-ADV I-AM-ADV I-AM-ADV I-AM-ADV O B-A0 I-A0 I-A0 I-A0 B-V O O O O O O O O O O O",Beda,
"Komisi Independen Pemilihan, KIP, Aceh, dalam laman resminya menyatakan, pihaknya baru akan memberikan keterangan resmi perihal antara lain perolehan suara ini pada Kamis 16 Februari pagi.",None (more than 30),B-A0 I-A0 I-A0 O I-A0 O B-AM-LOC O B-AM-EXT I-AM-EXT I-AM-EXT B-V O B-A0 O B-AM-MOD B-V I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 B-AM-TMP I-AM-TMP I-AM-TMP I-AM-TMP I-AM-TMP O,B-A0 I-A0 I-A0 O I-A0 O B-AM-LOC O B-AM-LOC I-AM-LOC I-AM-LOC B-V O ...,Beda,
"Lebih lanjut Suadi mengatakan, setidaknya pasangan calonnya untuk sementara meraup suara terbanyak di setidaknya sembilan kabupaten, di antaranya Kabupaten Pidie Jaya, Aceh Timur dan Aceh Utara.",B-A0 B-V B-A0 B-V O B-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 B-AM-LOC I-AM-LOC I-AM-LOC I-AM-LOC I-AM-LOC B-AM-LOC I-AM-LOC I-AM-LOC I-AM-LOC I-AM-LOC I-AM-LOC I-AM-LOC I-AM-LOC I-AM-LOC I-AM-LOC I-AM-LOC O,B-AM-EXT I-AM-EXT B-A0 B-V 0 B-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1B-AM-LOC I-AM-LOC I-AM-LOC I-AM-LOC O I-AM-LOC B-AM-LOC I-AM-LOC I-AM-LOC I-AM-LOC O I-AM-LOC I-AM-LOC O I-AM-LOC I-AM-LOC I-AM-LOC O  ,B-AM-TMP I-AM-TMP B-A0 B-V O B-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 B-AM-LOC I-AM-LOC I-AM-LOC I-AM-LOC O I-AM-LOC I-AM-LOC I-AM-LOC I-AM-LOC I-AM-LOC O I-AM-LOC I-AM-LOC I-AM-LOC I-AM-LOC I-AM-LOC O,Beda,
"Saudi mengaku, ""Dan perolehan ini bisa berubah naik lagi, karena belum semua kabupaten masuk datanya,"".",B-A0 O O B-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 O B-AM-CAU I-AM-CAU I-AM-CAU I-AM-CAU I-AM-CAU I-AM-CAU O O O,B-A0 B-V O O B-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 O B-AM-CAU I-AM-CAU I-AM-CAU I-AM-CAU I-AM-CAU I-AM-CAU O O O,"B-A0 I-A0 O O B-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 O I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 O O O

O O O O O B-A0 I-A0 O B-AM-MOD B-V B-AM-ADV O O B-AM-CAU I-AM-CAU I-AM-CAU I-AM-CAU I-AM-CAU I-AM-CAU O O O",Beda,
"Belum ada protes atau tanggapan resmi atas klaim ini, tetapi semenjak adanya perpecahan yang menerpa pimpinan eks Gerakan Aceh Merdeka sejumlah kalangan menganggap perolehan suara Muzakir Manaf tidak akan sebanyak dalam pilkada sebelumnya.",None (more than 30),B-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 O I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 B-A0 I-A0 B-V B-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 B-AM-EXT I-AM-EXT I-AM-EXT O    ,O O O O O O O O O O B-AM-NEG B-AM-TMP I-AM-TMP I-AM-TMP I-AM-TMP I-AM-TMP I-AM-TMP I-AM-TMP I-AM-TMP I-AM-TMP I-AM-TMP B-A0 I-A0 B-V B-A1 I-A1 I-A1 I-A1 B-AM-NEG O B-AM-EXT I-AM-EXT I-AM-EXT I-AM-EXT O,Beda,
"Saudi berkata, ""Justru yang menuding itu yang melakukan intimidasi selama ini,""",B-A0 B-V O O B-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 B-AM-TMP I-AM-TMP O O,B-A0 B-V O O B-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 B-AM-TMP I-AM-TMP O O,B-A0 B-V O O B-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 O O,Beda,
"Komisi Independen Pemilu, KIP, Aceh, menyebutkan tidak ada gangguan berarti ataupun protes selama pemungutan dan penghitungan suara pilkada Aceh, dalam laman resminya.",B-A0 I-A0 I-A0 I-A0 I-A0 I-A0 I-A0 I-A0 B-V B-AM-NEG B-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 O,B-A0 I-A0 I-A0 O I-A0 O I-AM-LOC O B-V B-AM-NEG B-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 O B-AM-EXT I-AM-EXT I-AM-EXT O,B-A0 I-A0 I-A0 O I-A0 O I-A0 O B-V B-AM-NEG B-A1 I-A1 I-A1 I-A1 I-A1 B-AM-TMP I-AM-TMP I-AM-TMP I-AM-TMP I-AM-TMP I-AM-TMP I-AM-TMP O B-AM-LOC I-AM-LOC I-AM-LOC O,Beda,
"Ketua KIP Aceh Ridwan Hadi berkata, ""Hasil pantauan kami, berlangsung aman dan kondusif,"" Rabu 15 Februari.",B-A0 I-A0 I-A0 I-A0 I-A0 B-V B-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 O O B-AM-TMP I-AM-TMP I-AM-TMP I-AM-TMP,"B-A0 I-A0 I-A0 I-A0 I-A0 B-V O O B-A1 I-A1 I-A1 O I-A1 B-AM-ADV I-AM-ADV O O B-AM-TMP I-AM-TMP I-AM-TMP O
 ",B-A0 I-A0 I-A0 I-A0 I-A0 B-V O O B-A1 I-A1 I-A1 O I-A1 I-A1 I-A1 O I-A1 I-A1 I-A1 I-A1 O O B-AM-TMP I-AM-TMP I-AM-TMP O,Beda,
