# ::snt Imam besar Masjid Al Aqsa, Yerusalem, Sheikh Ikrima Sabri, ditembak aparat kepolisian Israel memakai peluru karet seusai salat Isya.

(vv1 / tembak
                                      :mod (vv16 / dunia
                                                 :mod (vv17 / milik
                                                            :name (vv18 / palestina)))))))

# ::snt Ketetapan badan Perserikatan Bangsa-Bangsa (PBB) itu membuat Israel murka. Mereka lantas menyiarkan klaim sebagai pemilik tunggal seluruh wilayah kota tua Yerusalem.

(vv1 / buat
     :ARG0 (vv2 / ketetapan
                :mod (vv3 / badan
                          :mod (vv4 / serikat
                                    :name (vv5 / bangsabangsa
                                               :name (vv6 / pbb)))))
     :ARG0 (vv7 / israel)
     :ARG1 (vv8 / murka)
     :ARG1 (vv9 / siar
                :ARG0 (vv10 / mereka)
                :mod (vv11 / lantas)
                :ARG1 (vv12 / klaim
                            :mod (vv13 / milik
                                       :mod (vv14 / tunggal)
                                       :mod (vv15 / wilayah
                                                  :mod (vv16 / kota
                                                             :mod (vv17 / tua)
                                                             :mod (vv18 / yerusalem)))))))

# ::snt Karenanya, Senin (17/7), Menteri Keamanan Umum Israel Gilad Erdan menegaskan, pihaknya berwenang membuka ataupun menutup kompleks Masjid Al Aqsa dari pengunjung Palestina.

(vv3 / tegas
     :time (vv1 / senin
                :mod (vv2 / karena)
                :mod (vv4 / 177)
                :name (vv5 / menteri
                           :name (vv6 / aman
                                      :mod (vv7 / umum
                                                :mod (vv8 / israel
                                                          :name (vv9 / gilad
                                                                     :name (vv10 / erdan)))))))
     :ARG0 (vv11 / pihak
                 :mod (vv12 / wenang)
                 :mod (vv13 / buka
                            :mod (vv14 / tutup
                                       :ARG1 (vv15 / kompleks
                                                   :mod (vv16 / masjid
                                                              :mod (vv17 / al
                                                                         :name (vv18 / aqsa)))
                                                   :mod (vv19 / unjung
                                                              :name (vv20 / palestina)))))))

# ::snt Klaim kepemilikan tunggal atas Yerusalem tersebut juga merupakan respons termutakhir Israel, setelah tiga pria bersenjata menyerang dua polisi Israel di kompleks masjid itu.

# ::snt Sejak pekan lalu, Israel menutup kompleks masjid tua itu dari warga Palestina. Namun, Israel akhirnya kembali membuka akses ke masjid itu meski tetap memasang detektor logam dan kamera pengawas yang ditolak warga Palestina.

# ::snt Sementara Kepala Pengelola Masjid Al Aqsa Sheikh Omar Qiswani tetap menyerukan kaum Muslim Palestina maupun Israel untuk menolak masuk ke kompleks suci tersebut kalau dipaksa melewati alat detektor logam.

(vv1 / seru
     :ARG0 (vv2 / kepala
                :name (vv3 / kelola
                           :mod (vv4 / masjid
                                     :mod (vv5 / al
                                               :name (vv6 / aqsa
                                                          :name (vv7 / sheikh
                                                                     :name (vv8 / omar
                                                                                :name (vv9 / qiswani))))))))
     :mod (vv10 / tetap)
     :ARG1 (vv11 / kaum
                 :mod (vv12 / muslim
                            :name (vv13 / palestina
                                        :mod (vv14 / israel
                                                   :mod (vv15 / maupun)))))
     :ARG1 (vv16 / tolak
                 :ARG1 (vv17 / masuk
                             :location (vv18 / kompleks
                                             :mod (vv19 / suci)))
                 :mod (vv20 / paksa
                            :mod (vv21 / lewat
                                       :ARG1 (vv22 / alat
                                                   :mod (vv23 / detektor
                                                              :mod (vv24 / logam)))))))

# ::snt Ia memerintahkan jemaah untuk tetap berada di luar Gerbang Singa (Lion Gate) hingga Israel mencabut alat detektor dan kamera pengawas sebagai bentuk protes.

(vv1 / perintah
     :ARG0 (vv2 / ia)
     :ARG1 (vv3 / jemaah)
     :ARG1 (vv4 / ada
                :mod (vv5 / tetap)
                :location (vv6 / luar)
                :ARG1 (vv7 / gerbang
                           :mod (vv8 / singa
                                     :name (vv9 / lion
                                                :name (vv10 / gate)))))
     :mod (vv11 / cabut
                :ARG0 (vv12 / israel)
                :ARG1 (vv13 / alat
                            :mod (vv14 / detektor)
                            :mod (vv15 / kamera
                                       :mod (vv16 / dan)
                                       :mod (vv17 / pengawas)
                                       :mod (vv18 / bentuk
                                                  :mod (vv19 / protes))))))

